COMMUNE;LIBGEO;MED15;SEXE_1;SEXE_2;AGEREVQ_015;AGEREVQ_020;AGEREVQ_025;AGEREVQ_030;AGEREVQ_035;AGEREVQ_040;AGEREVQ_045;AGEREVQ_050;AGEREVQ_055;AGEREVQ_060;AGEREVQ_065;AGEREVQ_070;AGEREVQ_075;AGEREVQ_080;AGEREVQ_085;AGEREVQ_090;AGEREVQ_095;AGEREVQ_100;AGEREVQ_110;AGEREVQ_105;CS1_1;CS1_2;CS1_3;CS1_4;CS1_5;CS1_6;CS1_7;CS1_8;DIPLOME_1;DIPLOME_2;DIPLOME_3;EMPLOI_1;EMPLOI_2;EMPLOI_3;EMPLOI_9;MENAGE_1;MENAGE_2;MENAGE_3;MENAGE_4;MENAGE_5;TYPLOG_1;TYPLOG_3;TYPLOG_2;STOCC_1;STOCC_2;STOCC_3;STOCC_4
37035;Braye-sous-Faye;18 475;132;143;10,00;0,00;2,00;6,00;8,00;6,00;4,00;8,00;8,00;12,00;12,00;0,00;10,00;6,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;2,00;2,00;2,00;22,00;16,00;40,00;12,00;74,00;8,00;18,00;32,00;4,00;6,00;58,00;20,00;4,00;32,00;44,00;0,00;100,00;0,00;0,00;84,00;10,00;4,00;2,00
37036;Braye-sur-Maulne;18 457;79;69;6,67;0,00;3,33;3,33;6,67;0,00;23,33;3,33;10,00;13,33;3,33;3,33;16,67;0,00;6,67;0,00;0,00;0,00;0,00;0,00;3,33;0,00;3,33;13,33;13,33;16,67;43,33;6,67;63,33;6,67;30,00;23,33;10,00;3,33;63,33;20,00;0,00;40,00;40,00;0,00;96,67;0,00;3,33;86,67;3,33;0,00;10,00
37037;Brèches;17 977;118;118;7,89;10,53;5,26;2,63;0,00;2,63;13,16;28,95;7,89;2,63;13,16;2,63;2,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,89;2,63;2,63;18,42;10,53;26,32;18,42;13,16;55,26;21,05;23,68;34,21;13,16;13,16;39,47;13,16;0,00;39,47;42,11;5,26;100,00;0,00;0,00;86,84;13,16;0,00;0,00
37038;Bréhémont;20 304;318;348;8,10;6,62;3,00;3,71;8,88;9,64;10,38;7,41;8,27;9,81;6,81;3,78;3,79;6,04;3,00;0,75;0,00;0,00;0,00;0,00;0,73;3,73;9,65;13,43;14,83;14,04;31,73;11,87;63,51;15,59;20,90;37,90;8,12;5,18;48,80;14,47;3,74;47,15;33,14;1,51;96,31;1,47;2,22;78,95;15,76;0,00;5,30
37039;Bridoré;18 419;218;249;6,21;2,14;5,33;3,19;7,35;5,32;7,34;9,55;10,72;14,92;7,46;3,23;4,30;3,23;6,46;3,24;0,00;0,00;0,00;0,00;3,15;3,12;2,16;5,29;14,81;20,21;40,73;10,52;78,83;10,52;10,65;33,06;3,11;6,27;57,56;17,37;4,29;35,56;25,73;17,05;82,82;15,03;2,14;65,78;14,99;7,45;11,78
37040;Brizay;19 530;113;132;11,37;4,07;3,55;7,51;3,57;4,25;15,38;14,14;6,37;6,37;16,84;2,12;2,12;0,00;0,00;2,32;0,00;0,00;0,00;0,00;1,94;2,12;2,12;13,67;19,60;21,85;25,54;13,14;61,75;19,10;19,15;51,73;0,00;4,07;44,21;11,15;4,25;37,87;46,73;0,00;100,00;0,00;0,00;80,52;4,25;15,23;0,00
37041;Bueil-en-Touraine;21 004;115;119;2,19;2,14;8,50;17,20;15,01;8,55;8,45;4,22;6,39;4,22;12,62;4,22;4,17;0,00;2,11;0,00;0,00;0,00;0,00;0,00;2,16;0,00;2,11;21,40;19,21;23,44;27,36;4,33;55,14;12,87;31,98;55,42;8,60;2,16;33,82;14,61;0,00;43,15;42,24;0,00;97,91;0,00;2,09;82,95;12,77;4,27;0,00
37042;Candes-Saint-Martin;19 084;97;120;7,89;15,79;5,26;2,63;10,53;5,26;7,89;13,16;5,26;10,53;5,26;7,89;0,00;0,00;2,63;0,00;0,00;0,00;0,00;0,00;0,00;5,26;2,63;21,05;10,53;18,42;15,79;26,32;63,16;13,16;23,68;28,95;2,63;10,53;57,89;26,32;21,05;26,32;26,32;0,00;92,11;0,00;7,89;60,53;18,42;13,16;7,89
37043;Cangey;21 466;433;449;8,74;4,49;1,67;5,53;2,79;11,71;15,07;9,64;11,40;5,83;9,24;2,91;2,90;2,92;2,86;1,74;0,57;0,00;0,00;0,00;0,57;2,82;5,47;18,58;15,81;16,78;27,82;12,16;64,05;19,83;16,12;41,98;8,94;5,08;43,99;9,48;2,65;57,75;30,12;0,00;100,00;0,00;0,00;92,57;6,83;0,59;0,00
37044;La Celle-Guenand;17 374;188;168;5,56;2,78;2,79;1,39;4,18;4,17;11,14;9,77;4,17;10,91;10,89;8,40;5,60;4,22;2,81;7,02;2,81;1,40;0,00;0,00;8,37;0,00;0,00;2,78;9,75;20,87;50,14;8,09;80,50;9,74;9,75;26,45;1,39;8,37;63,79;12,60;2,79;24,99;32,94;26,68;76,11;23,89;0,00;69,14;4,19;0,00;26,66
37045;La Celle-Saint-Avant;19 704;420;465;6,17;6,20;6,78;5,60;5,06;9,02;10,69;6,77;11,91;5,68;10,79;4,54;2,85;4,54;3,41;0,00;0,00;0,00;0,00;0,00;0,00;5,63;2,26;8,48;20,28;22,00;30,09;11,26;73,99;15,82;10,19;40,06;7,32;6,76;45,86;17,12;4,53;37,53;39,69;1,13;95,46;0,00;4,54;73,40;18,68;6,21;1,70
37046;Céré-la-Ronde;20 038;175;205;7,82;2,63;7,89;3,96;9,15;9,16;6,59;6,59;7,92;5,27;10,56;0,00;7,92;6,61;6,61;0,00;0,00;1,32;0,00;0,00;3,93;3,94;1,32;11,86;18,40;14,44;36,98;9,13;61,85;22,36;15,79;35,50;7,88;7,88;48,75;17,22;10,54;37,93;29,03;5,28;98,68;0,00;1,32;75,00;23,67;0,00;1,32
37047;Cerelles;22 750;422;487;7,91;4,81;3,84;3,24;8,60;14,25;11,50;12,05;7,71;7,41;6,21;3,43;5,65;1,11;1,14;0,56;0,58;0,00;0,00;0,00;1,09;1,65;10,89;23,27;17,44;12,31;23,80;9,55;52,05;18,67;29,28;50,72;4,84;3,31;41,13;9,88;6,09;52,91;29,49;1,64;97,15;0,00;2,85;95,44;2,29;2,27;0,00
37048;Chambon;19 535;140;130;3,70;5,56;9,26;7,41;1,85;9,26;3,70;7,41;1,85;11,11;14,81;5,56;9,26;5,56;3,70;0,00;0,00;0,00;0,00;0,00;3,70;3,70;5,56;9,26;20,37;11,11;42,59;3,70;48,15;25,93;25,93;24,07;7,41;7,41;61,11;22,22;5,56;31,48;37,04;3,70;100,00;0,00;0,00;61,11;35,19;0,00;3,70
37049;Chambourg-sur-Indre;21 181;538;543;8,30;4,34;5,86;6,35;5,86;8,27;10,74;8,30;7,32;8,30;9,28;5,37;2,93;4,88;3,42;0,49;0,00;0,00;0,00;0,00;0,49;4,39;5,37;14,65;15,13;15,13;30,76;14,08;58,50;17,09;24,41;38,57;4,88;7,32;49,23;15,62;8,79;39,05;35,15;1,39;97,64;1,39;0,98;76,64;13,18;6,83;3,34
37050;Chambray-lès-Tours;21 909;4454;5324;8,90;9,35;6,73;6,44;5,77;7,47;7,59;7,43;8,48;7,89;6,62;4,76;3,93;3,32;2,96;1,65;0,58;0,14;0,00;0,00;0,09;2,47;9,01;15,44;17,24;9,67;29,17;16,91;49,26;21,29;29,45;36,22;6,85;3,62;53,31;22,10;7,82;33,62;31,23;5,22;60,07;3,84;36,08;52,19;23,46;17,81;6,55
37051;Champigny-sur-Veude;18 770;381;370;4,11;3,42;6,85;2,05;4,11;4,79;8,22;7,53;17,81;9,59;11,64;6,85;5,48;2,05;2,05;2,74;0,68;0,00;0,00;0,00;1,37;2,74;1,37;11,64;15,75;15,75;38,36;13,01;71,92;10,27;17,81;31,51;5,48;5,48;57,53;21,23;9,59;30,82;38,36;0,00;98,63;0,00;1,37;73,29;20,55;6,16;0,00
37052;Chançay;22 310;415;450;5,78;1,73;4,62;5,20;12,14;9,83;9,83;17,34;9,25;8,09;4,05;3,47;2,31;2,31;4,05;0,00;0,00;0,00;0,00;0,00;6,36;1,73;11,56;15,03;19,08;13,29;23,12;9,83;56,65;18,50;24,86;50,29;4,05;9,25;36,42;13,29;6,94;48,55;31,21;0,00;97,11;0,00;2,89;79,77;10,98;8,67;0,58
37053;Chanceaux-près-Loches;20 476;57;52;4,35;0,00;0,00;8,70;4,35;17,39;8,70;4,35;8,70;13,04;8,70;4,35;13,04;4,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,35;13,04;8,70;26,09;0,00;43,48;4,35;56,52;26,09;17,39;43,48;0,00;4,35;52,17;8,70;0,00;39,13;52,17;0,00;100,00;0,00;0,00;56,52;43,48;0,00;0,00
37054;Chanceaux-sur-Choisille;22 911;1330;1440;8,09;4,86;3,06;7,37;8,45;8,09;12,05;9,53;10,97;9,35;7,37;4,68;3,24;2,16;0,36;0,36;0,00;0,00;0,00;0,00;0,72;4,14;7,19;18,88;18,88;12,95;26,44;10,79;55,04;19,78;25,18;46,58;6,29;5,58;41,55;9,35;7,19;48,38;33,81;1,26;95,32;0,00;4,68;78,78;15,11;5,04;1,08
37055;Channay-sur-Lathan;18 068;303;303;8,46;6,66;1,67;9,20;12,70;12,62;10,87;6,59;3,31;4,10;9,05;7,40;2,46;3,28;0,81;0,81;0,00;0,00;0,00;0,00;0,00;5,01;4,19;14,23;21,81;20,84;27,11;6,81;60,72;19,17;20,11;42,65;10,93;6,68;39,74;12,22;5,79;53,98;24,72;3,30;100,00;0,00;0,00;90,11;5,78;4,11;0,00
37056;La Chapelle-aux-Naux;20 947;260;220;6,25;5,21;7,29;8,33;5,21;8,33;8,33;4,17;14,58;10,42;7,29;5,21;4,17;2,08;2,08;1,04;0,00;0,00;0,00;0,00;0,00;0,00;7,29;12,50;16,67;28,13;28,13;7,29;66,67;17,71;15,63;47,92;9,37;0,00;42,71;10,42;4,17;47,92;37,50;0,00;100,00;0,00;0,00;92,71;6,25;0,00;1,04
37057;La Chapelle-Blanche-Saint-Martin;19 814;255;270;6,67;2,86;7,62;9,52;10,48;7,62;10,48;6,67;3,81;6,67;8,57;9,52;3,81;2,86;0,95;0,95;0,95;0,00;0,00;0,00;5,71;3,81;4,76;8,57;12,38;20,95;33,33;10,48;59,05;15,24;25,71;39,05;1,90;11,43;47,62;16,19;1,90;49,52;32,38;0,00;98,10;0,00;1,90;80,00;16,19;3,81;0,00
37058;La Chapelle-sur-Loire;19 324;591;586;7,07;4,62;5,53;4,13;7,19;9,23;11,04;11,53;7,75;5,62;6,48;7,72;4,27;4,34;2,61;0,88;0,00;0,00;0,00;0,00;0,00;2,99;3,38;14,93;13,58;19,41;31,92;13,79;68,25;14,03;17,72;36,03;7,23;4,28;52,47;15,58;8,51;41,84;31,92;2,15;92,51;4,90;2,59;88,91;7,22;1,73;2,14
37059;Charentilly;23 873;511;507;8,44;1,99;4,93;4,98;6,03;17,36;12,57;10,09;7,42;10,64;6,72;2,60;3,08;2,08;0,53;0,53;0,00;0,00;0,00;0,00;1,02;7,51;8,75;19,64;16,32;11,60;21,14;14,03;55,01;15,24;29,75;43,87;6,69;10,32;39,13;7,38;5,66;45,79;34,14;7,03;90,90;5,99;3,10;76,09;11,79;5,11;7,01
37060;Chargé;22 893;497;490;5,81;3,11;2,55;8,29;9,94;14,29;8,78;6,61;6,50;8,54;11,04;3,01;6,02;2,47;1,52;1,51;0,00;0,00;0,00;0,00;0,53;5,68;7,24;14,55;14,45;16,55;32,11;8,88;60,20;16,47;23,32;45,56;3,06;8,32;43,07;8,33;3,04;53,50;32,12;3,01;100,00;0,00;0,00;90,74;7,18;2,08;0,00
37061;Charnizay;18 537;190;210;3,75;5,00;6,25;6,25;1,25;5,00;3,75;15,00;10,00;10,00;7,50;3,75;7,50;8,75;5,00;1,25;0,00;0,00;0,00;0,00;8,75;5,00;5,00;3,75;18,75;13,75;38,75;6,25;77,50;13,75;8,75;30,00;7,50;12,50;50,00;16,25;2,50;41,25;35,00;5,00;100,00;0,00;0,00;85,00;10,00;0,00;5,00
37062;Château-la-Vallière;18 828;668;839;7,70;4,67;7,00;5,01;8,01;8,02;6,01;7,34;5,33;6,66;8,32;7,99;4,32;2,99;7,65;2,32;0,66;0,00;0,00;0,00;0,33;3,67;1,67;11,67;17,36;14,35;37,92;13,03;74,33;15,67;10,00;25,70;8,35;4,00;61,95;16,62;4,00;34,79;34,63;9,96;82,71;7,96;9,32;59,66;21,03;7,34;11,96
37063;Château-Renault;17 603;1961;2269;5,21;7,46;5,09;6,27;5,53;6,12;9,59;8,60;9,34;8,98;7,80;4,70;4,73;4,81;3,55;2,09;0,12;0,00;0,00;0,00;0,47;3,08;3,55;8,84;16,02;21,20;33,74;13,10;73,68;13,06;13,26;32,92;5,80;3,55;57,73;26,28;6,98;30,89;30,78;5,07;65,46;3,17;31,37;46,99;22,25;25,57;5,19
